borough,time_of_day,incident_severity_level,call_volume_density,response_minutes
BROOKLYN,day,1,0.1335284925527765,14.844047297926611
STATEN ISLAND,night,2,0.12371259897452586,14.409563326609412
QUEENS,night,4,0.7652122004228916,15.30709139712473
BROOKLYN,day,4,0.3862087343328683,9.903471342188823
MANHATTAN,night,3,0.8166701673708973,17.47293406718392
MANHATTAN,day,3,0.4885595414585643,14.8763090102883
MANHATTAN,night,3,0.5076982907469675,15.991782622885802
BRONX,day,1,0.5615943422586164,16.65638870369894
QUEENS,night,2,0.7417283107375935,15.613703973345551
QUEENS,day,2,0.34615257924673637,13.238706906751455
MANHATTAN,day,2,0.2094286145801742,13.974971739333013
STATEN ISLAND,day,4,0.6004516016723154,12.681324411040865
BRONX,night,2,0.39427986091846534,13.44537768819137
MANHATTAN,night,2,0.4982421823012336,15.791437505006837
MANHATTAN,night,3,0.6822520375035749,13.987823375171505
MANHATTAN,night,4,0.5447131670271436,14.84917697377128
BROOKLYN,day,2,0.6582509353907586,18.4038671993573
BROOKLYN,day,1,0.5897800019022651,17.64108189532818
BROOKLYN,day,3,0.7658167347424892,15.620269538050312
MANHATTAN,day,4,0.735342955940458,15.423595496352451
QUEENS,day,3,0.5807709026277573,15.744389275934328
MANHATTAN,day,4,0.7110127187737362,15.211915569105987
MANHATTAN,day,5,0.8862036420453515,13.423273342324647
BROOKLYN,day,4,0.4890441590093517,10.636199947177058
BROOKLYN,day,3,0.4714867654739143,12.726512460384257
QUEENS,day,3,0.7878210587671421,15.408700222361382
MANHATTAN,night,1,0.6242984533377947,18.171546918854713
BROOKLYN,night,5,0.1639061022003297,9.099350911491053
BROOKLYN,night,3,0.9029008141219732,16.205346472309344
MANHATTAN,day,2,0.12770479201387613,12.8603054305369
QUEENS,day,3,0.7735567205887688,13.81568072608331
MANHATTAN,night,2,0.7829147284338815,20.26377114606811
MANHATTAN,day,3,0.9577999767537374,18.992485147919663
BRONX,day,3,0.1487209675620887,13.743307831347126
STATEN ISLAND,day,3,0.6371711747060419,14.189553716495395
BRONX,day,4,0.48505651356434765,11.736877647830452
BROOKLYN,day,2,0.3975696593735878,16.772211892916246
MANHATTAN,day,3,0.18128670426916574,12.838681976115454
QUEENS,night,3,0.6063887077041783,14.406536724425582
BROOKLYN,day,3,0.5311366531071523,14.400998990305867
MANHATTAN,day,4,0.19409901233592186,7.825358517042674
BROOKLYN,night,3,0.651240556387375,17.158745631271763
MANHATTAN,day,3,0.7641578082276446,17.256230488628994
BRONX,day,2,0.7905504709482835,17.834365734206056
MANHATTAN,night,5,0.9148358694361847,14.372301876610527
QUEENS,day,3,0.4685236676998995,13.441517224512703
BROOKLYN,day,4,0.9577654917599233,14.908740973424004
